Name	Exp_1	Exp_2	Exp_3	Exp_4	Exp_5	Exp_6	Exp_7	Exp_8	Exp_9	Exp_10	Exp_11	Exp_12	Exp_13	Exp_14	Exp_15	Exp_16	Exp_17	Exp_18	Exp_19	Exp_20	Exp_21	Exp_22	Exp_23	Exp_24	Exp_25	Exp_26	Exp_27	Exp_28	Exp_29	Exp_30	Exp_31	Exp_32	Exp_33	Exp_34	Exp_35	Exp_36	Exp_37	Exp_38	Exp_39	Exp_40	Exp_41	Exp_42	Exp_43	Exp_44	Exp_45	Exp_46	Exp_47	Exp_48	Exp_49	Exp_50	Exp_51	Exp_52	Exp_53	Exp_54
ETV7	2.66367	1.75167	2.77067	2.31017	1.07383	1.36983	3.7885	3.195	0.749333	2.71783	0.7065	2.7945	1.176	3.83333	1.858	2.01683	1.7282	3.32183	4.15733	1.93983	1.85867	0.952333	2.09883	2.0955	3.456	3.22583	4.0595	3.5355	3.78317	1.98883	2.91833	3.49267	4.02033	2.46167	1.77167	0.7075	2.63667	1.38967	1.92567	0.966167	2.30683	1.895	3.08083	2.506	3.42767	0.436833	0.881333	2.1165	0.462	0.909833	1.946	1.47183	1.735	2.158
EVC	1.00417	0.249833	1.53	0.43	-0.98	-0.0896667	0.6145	-0.0958333	0.9885	1.15133	-0.210833	0.533167	-0.2665	-0.510833	-0.079	0.5935	0.370833	0.331333	-0.548	-2.171	-0.570167	1.05633	0.482833	-0.0231667	1.46467	0.475	0.3545	0.661333	-0.8848	0.774333	-1.89083	1.142	0.5045	0.2705	-0.00816667	0.633667	0.632667	0.383667	-0.382333	0.034	-0.0556667	-0.465667	0.3655	0.938667	1.38833	0.840167	0.262333	-0.2825	0.517333	0.884833	0.681	0.354667	2.187	-0.227833
EVC2	2.97025	0.3305	1.39675	0.7785	-0.609667	-0.18175	1.03	-1.4825	2.5785	1.85625	0.601	1.00825	0.1245	-1.94267	-0.28875	-0.16725	0.58575	0.714	-1.11075	-2.098	-0.6225	1.15825	0.0935	-0.3265	1.6055	0.7195	0.71925	-0.67475	0.529333	1.16175	-1.0775	1.72825	1.44675	1.083	-0.410667	0.611	0.98975	1.1175	-0.07175	-0.89875	1.13725	0.129	0.56775	0.6675	1.69275	1.32525	0.273	0.448	0.66375	0.157	1.209	0.39275	-1.203	0.10725
EVI1	4.4635	4.5162	4.8219	4.2952	4.3554	3.4479	4.9107	4.7018	5.3359	4.0283	5.0908	3.7594	4.1792	4.1103	4.4157	4.1347	4.0282	0.7625	4.8666	5.4287	5.1724	5.3582	3.0935	3.8051	3.5503	4.6714	0.5001	4.6392	4.1796	4.688	4.1464	4.8134	4.6835	4.4859	5.118	4.6229	5.2023	5.0742	4.4147	4.1465	4.7405	4.9062	4.1168	4.6802	4.2341	4.4525	3.9913	3.9099	2.4104	3.5395	4.6832	3.211	4.3032	3.8746
EVI2A	-2.28725	-3.799	-2.68275	-4.11425	-2.77625	-3.343	-3.74325	-3.343	-4.057	-3.04575	-3.21125	-3.4395	-2.185	-0.889	-1.7295	-2.103	-2.84633	-2.78275	-3.23675	-4.45925	-2.67025	-2.49725	-3.17825	-3.7105	-1.53925	-1.677	-3.496	-2.16475	-0.67625	-3.73375	-2.295	-3.9285	-1.57275	-1.16275	-1.585	-4.008	-2.1465	-2.67475	-1.387	-2.379	-2.298	-3.47025	-0.83475	-1.778	-2.50675	-3.0205	-2.6105	-1.39775	-2.883	-2.84475	-4.17925	-2.39925	-1.42	-0.8655
EVI2B	-0.18725	-2.39625	-0.1975	-1.9205	-1.65125	-1.21567	-1.38975	-1.23725	-2.19433	-2.076	-1.77525	-1.88675	-0.5775	-0.344	-0.43275	-2.22825	-1.051	-1.40025	-2.19625	-1.88125	-1.23775	-2.0945	-2.68625	-2.0965	-0.403	-0.34075	-2.08733	-0.44975	1.26975	-2.3355	-0.5305	-1.98	0.72825	0.72425	0.504	-2.61575	-0.38975	-1.455	-0.56825	-0.518	-1.0715	-2.083	0.496	-0.33425	-1.12675	-1.61133	-1.68	-0.27625	-1.2785	-1.04525	-1.95925	-1.87225	-0.61525	0.63425
EVI5	0.0330714	0.0189231	0.0944615	-0.243	-0.458769	0.0371429	-0.249071	-0.570071	0.0247143	0.617214	-0.397286	-0.257429	-0.213571	-0.482769	-0.292643	-0.417786	-0.236769	-0.115071	-0.208143	0.207214	0.372071	0.355	-0.0370714	-0.678071	0.160786	0.309214	0.322214	0.201714	0.551143	0.567643	1.07314	-0.247786	0.00621429	0.261429	-0.206286	-0.532929	0.8905	0.621286	0.299429	0.106643	0.819286	0.701071	0.762571	0.6585	-0.174429	0.140429	0.304	0.214643	0.3	0.826929	0.229286	-0.485	-0.927571	0.508571
EVPL	0.942333	0.779833	2.09167	1.2395	0.952833	1.365	1.0445	1.62717	0.399667	0.095	1.46383	1.03633	1.23183	1.30717	1.32217	1.43267	-0.127167	2.15933	1.00783	1.70133	1.20483	1.203	1.06267	1.2915	0.801833	0.0661667	-1.06533	0.661833	0.399	0.633333	0.477833	0.8955	1.25583	0.386167	2.24667	1.65617	0.9775	-0.053	0.3925	2.4105	0.939167	0.0971667	0.609167	1.03433	0.965	1.51583	0.759333	0.198667	0.085	-0.0733333	2.4665	1.19683	0.734167	0.616167
EVX1	-0.307333	1.65483	2.4765	1.09467	1.07433	1.41583	1.31717	1.08817	0.471333	0.413667	2.16683	-0.422833	1.72617	1.98067	2.05833	2.66683	-0.622833	0.742167	1.18383	1.31683	1.90617	1.154	0.93	1.18417	0.993167	0.218667	-0.015	1.5785	2.05933	0.75	1.4235	1.54883	0.750167	0.976833	2.86617	2.25467	1.80733	1.08383	1.83567	3.33017	1.607	0.847833	1.52167	2.37733	2.58417	2.3105	1.7735	1.08183	1.2525	1.21367	1.8415	2.08067	-0.3125	0.86
EWSR1	-0.368875	-0.706125	-1.17912	-0.34675	-0.211625	0.02575	-0.510125	0.103125	-0.257	-0.044125	-0.55025	-0.084875	-0.785125	-0.610375	-0.426125	-1.065	-0.28475	-0.006875	-0.233375	-0.3475	-0.70575	-0.871125	-0.649	0.062625	-0.548375	-0.243375	-0.160375	-0.551	-1.08537	-0.736875	-0.632625	-0.70825	-0.32625	-0.84625	-0.8495	-0.720125	-0.9185	-0.45975	-0.1225	-0.711125	-0.33225	-0.215875	-0.5445	-0.675	-0.65175	-0.78125	-0.8425	-0.273	-0.1565	-1.58363	-0.49225	-0.397125	0.039	-0.329
EXO1	-1.2425	-1.922	-1.77075	-1.51975	-0.46925	-0.92025	-1.0945	-0.36025	-1.48125	-1.475	-2.4945	-2.01625	-3.8895	-2.2955	-2.50725	-2.959	-1.586	-1.05325	-1.39925	-2.33075	-2.13225	-2.3405	-3.40925	-1.362	-3.10375	-2.40075	0.086	-1.90275	-1.978	-2.56325	-3.9265	-1.48875	-1.60675	-1.459	-3.697	-2.945	-1.06325	-2.493	-1.658	-1.79675	-2.639	-1.1845	-2.36475	-2.49175	-1.358	-1.80925	-2.0695	-0.7175	-2.3865	-1.32025	-1.39375	-1	-0.92625	-1.6765
EXOC1	-0.182875	0.072625	-1.22538	-0.47325	0.207625	0.14125	0.547125	0.136375	-0.033375	0.13475	-0.263625	0.920625	-0.16025	-0.744625	0.137625	-0.534	0.035	-0.38575	0.339875	0.163625	-0.057	-0.027	0.37175	0.31175	0.587875	0.525625	-0.456375	0.129375	0.29525	-0.263875	0.186	-0.66	-0.066875	0.4015	-0.043875	-1.17588	0.28625	0.127	0.204875	-0.354125	-0.135875	-0.074375	0.843125	-0.042	-0.056	0.31775	0.06725	0.317	-0.57975	0.1665	-0.355875	0.155875	-0.354	0.636375
EXOC2	0.861167	0.07	-1.0846	0.235833	1.49067	0.177167	0.135667	0.185	0.424333	-0.146833	-0.219	0.387	-0.0785	-0.0896667	0.1945	-0.7325	1.40583	0.97	-0.135	-0.241833	0.585333	0.108167	0.439333	-0.0323333	0.749	0.556	0.690333	1.34783	0.319167	0.396	0.379333	-0.259167	0.412833	0.805833	-0.853667	-0.527333	0.12	0.141333	-0.0608333	-0.8615	-0.0495	-0.1235	0.343333	-0.1335	-0.313833	-0.185833	-0.118167	-0.0896667	0.256	0.759167	-0.156833	-0.174	0.933833	0.402167
EXOC3	-0.404833	-0.830333	-1.714	-0.428667	-0.0915	-0.774833	-0.0508333	-0.613667	-0.452167	-0.194167	-0.698	-0.755	-0.458	0.2415	-0.713167	-0.704333	-0.2685	-0.468167	0.561167	-0.3695	-0.3245	-0.4285	-0.545833	-0.591333	-0.4265	-0.273333	-1.181	-0.735333	-0.547333	-0.241333	-0.548167	-0.904	-0.1755	-0.728833	-0.8775	-0.648167	-0.243833	-0.599	-0.693167	-0.457833	-0.472667	-0.5995	-0.580167	-0.7715	-0.440167	-1.003	-0.633833	-0.462333	-0.6345	-0.840333	-0.5325	-1.18367	-0.787167	-0.584667
EXOC3L	0.88725	1.38725	1.78025	3.05075	0.83525	1.155	1.713	2.366	0.4655	0.4905	2.163	0.58825	1.62725	3.01625	1.41175	2.68225	-0.2745	0.75875	1.12975	1.03875	1.9675	1.612	1.53325	1.545	1.60975	0.42275	0.39025	1.22075	2.3455	0.79425	0.78275	3.4265	0.798	1.0745	2.049	1.655	1.8535	0.48825	1.1595	2.813	1.02825	0.93225	1.17925	1.88325	1.907	2.31975	1.607	0.64475	1.25975	0.92325	2.33025	1.8125	0.17525	1.19025
EXOC4	0.1555	-0.661333	-0.9	-0.596333	-0.0615	-0.117333	0.229333	-1.46733	0.440667	0.201333	-1.11983	-0.355167	-0.844667	-2.31167	-0.494667	-1.054	0.0805	-0.424833	-0.188	-0.107	-0.35	0.0745	-0.579333	-0.224167	0.202167	0.296333	0.118667	0.356	0.340333	0.280833	0.3005	-0.254167	0.278	-0.4985	-0.861667	-0.936333	-0.530667	0.679333	-0.780333	-0.918333	0.601	-0.8645	-0.035	-0.0133333	-0.177833	-0.745667	-0.0635	-0.5105	-0.749333	0.436	0.094	-1.0016	-0.2685	-0.4755
EXOC5	-0.814875	-0.410875	-0.788867	-0.489333	0.0613333	-0.866187	-0.723133	-0.165375	-0.342813	-0.5872	-0.806688	-0.277938	-1.0458	-0.891188	-0.832267	-0.4102	-0.279333	0.238813	-0.914533	-0.699937	-0.704333	-0.939	-0.632188	-0.199375	-0.381875	0.175	0.618875	0.296125	0.203313	-0.638125	-0.042375	-0.5025	-0.883333	0.378375	-1.17206	-1.3425	-0.460437	0.0975	0.4995	-1.07775	-0.233813	0.101938	-0.790813	-0.580063	-1.211	-0.60075	-0.724063	0.418563	-0.093625	0.404643	-0.828688	-1.20369	-0.11875	-0.4272
