Name	Exp_1	Exp_2	Exp_3	Exp_4	Exp_5	Exp_6	Exp_7	Exp_8	Exp_9	Exp_10	Exp_11	Exp_12	Exp_13	Exp_14	Exp_15	Exp_16	Exp_17	Exp_18	Exp_19	Exp_20	Exp_21	Exp_22	Exp_23	Exp_24	Exp_25	Exp_26	Exp_27	Exp_28	Exp_29	Exp_30	Exp_31	Exp_32	Exp_33	Exp_34	Exp_35	Exp_36	Exp_37	Exp_38	Exp_39	Exp_40	Exp_41	Exp_42	Exp_43	Exp_44	Exp_45	Exp_46	Exp_47	Exp_48	Exp_49	Exp_50	Exp_51	Exp_52	Exp_53	Exp_54
15E1.2	-0.169	-0.642	-0.99525	-0.38625	-0.56075	-0.84625	0.11525	-0.13575	-1.55625	-0.98025	-0.70875	-0.808	-1.0025	-1.62375	-1.12325	-0.46925	-1.3155	-1.45725	-0.705	-1.025	-0.425	-1.33775	-0.96625	-0.4535	-1.94975	-1.68775	-0.76975	-0.5335	-0.2975	-0.32725	-1.5745	-1.0445	-0.70225	-0.77775	-0.265	0.6275	0.79625	-1.25825	-0.277	-0.677	-1.2265	-0.6825	-1.799	-0.99025	-0.57275	-1.31225	-0.893	-1.244	-0.4915	-0.45975	-0.75775	-0.80075	0.4845	-0.704
7A5	1.719	0.067	-0.54	0.711	-1.659	-0.3265	2.5125	1.145	-1.3085	2.459	-0.2685	-0.5095	-1.151	0.457	0.0185	0.430849	-1.0155	0.366	1.625	-1.9825	-0.007	-0.0845	0.667	-1.704	0.6355	0.5995	-2.0075	0.263	1.5385	2.7395	1.926	0.592	2.417	1.8995	0.865	2.0525	-0.558	0.874	0.446	1.1535	1.1015	2.7765	-1.5825	0.6685	2.108	0.2995	-0.138	-0.855	2.9335	1.4325	0.8685	-0.7265	-1.1625	-1.5155
A1BG	-1.5568	-1.716	0.420833	-1.715	-2.3234	-2.054	-0.327333	-1.5464	-0.645	-1.83833	-1.3915	-2.06767	-1.45267	0.810333	-0.451167	-0.906	-0.9235	0.134833	-2.13483	-1.7465	-0.935833	-1.29117	-2.16983	-1.763	-1.26017	-2.34733	-2.37733	-1.18083	-2.12	0.758667	-1.89083	-0.124	-1.19717	-1.3615	-0.497833	-1.19967	0.6165	-1.83233	-0.866	-0.565	-2.10883	-0.285667	0.2135	-1.4975	-1.23333	-1.5195	-1.22917	-1.72983	-0.125	-2.21467	0.3795	-1.2604	-1.85717	-1.4035
A2M	0.28475	0.27325	-0.43875	-0.34175	-1.846	-2.44725	-1.443	-0.20975	2.48825	-0.4825	-0.03225	1.63925	-0.27525	0.59725	0.4015	-0.6855	-1.675	-0.614	-1.1155	-1.21125	0.491	0.3355	-0.97575	-0.97375	0.9375	-0.16325	-1.21775	-0.27775	-0.047	2.88525	-1.8655	0.42275	-0.6875	0.14125	-0.911	-1.713	1.8175	-0.1545	-0.23625	0.33825	0.08975	-0.721	0.72725	1.3525	-0.6685	-0.17975	0.01475	-0.305	-1.036	-1.8155	-0.471	-0.274	-0.887	1.228
A4GALT	1.00683	2.79933	1.82	3.443	3.08733	1.861	2.54317	2.85683	0.228167	1.48633	3.26267	2.55183	3.18067	2.19867	4.06367	3.327	0.088	-0.456333	1.426	4.383	3.14917	3.56933	3.28817	2.0125	1.86783	2.24917	0.780333	2.55633	2.68233	0.706167	3.118	2.462	1.847	1.9925	3.26083	3.206	2.41983	2.33767	2.20283	2.914	2.76217	1.23967	1.5635	3.55183	2.01217	2.75883	2.6415	0.952	1.27333	2.66967	1.8425	2.30417	1.9325	0.7155
AADAC	0.58625	-1.409	-0.573	0.6145	-0.60325	-0.34575	1.144	1.91525	0.16825	0.4065	-0.493	0.6115	0.47475	-1.2155	-1.072	0.041	1.22275	0.143	0.239	0.57375	-0.09475	0.64	1.3695	0.072	-0.0395	-1.20625	-0.0145	2.1	0.91575	-0.900667	0.6175	-0.389	-0.32625	-0.3455	0.3795	0.01025	0.61875	-0.43	-0.0805	0.4795	-0.212	-0.1845	0.029	-0.4085	-0.5685	0.14625	-0.236	1.36525	-0.0475	0.3215	-0.137	-0.448	-0.40075	1.032
AADACL1	0.58025	-0.38825	-1.3515	-1.092	-2.43825	2.594	-0.676	-0.60125	1.77325	-0.725	1.38325	-0.32175	-0.2005	-1.216	-0.4055	0.29075	-1.8685	-0.892	-0.51425	-1.26125	-0.433	-0.03025	-0.97925	0.74975	-1.194	0.72825	-1.528	0.0705	1.25825	-0.4515	0.71575	1.27725	0.3645	-0.2315	0.07	-1.1775	3.35075	0.43875	0.5705	0.64475	0.4575	-1.23775	0.68475	-0.413	-0.2215	0.2355	1.25225	-0.16225	0.71575	0.93175	-1.0375	0.37025	-1.65675	1.586
AASS	-2.47075	0.56175	-2.0735	-2.8675	-2.24075	-2.97475	-1.75275	-1.58267	-0.733	-0.72975	-3.4485	-1.13825	-0.7705	-2.23725	-0.63775	-1.965	-1.376	-2.5005	-0.68425	-1.0845	-0.85025	-1.242	-0.41775	-2.1645	-0.67175	-0.10425	0.12475	-1.062	-1.4135	-3.284	-3.927	-0.45075	-3.3085	-1.70525	-3.2685	-2.07625	-0.09425	-0.4915	-2.404	-1.87775	-1.53	-3.09625	-1.29925	-2.874	-1.322	-2.65825	-1.12275	-0.67175	-2.208	-1.08875	-2.5975	-1.3535	-2.1445	-2.0615
AATF	0.5575	-0.64275	-0.812625	-0.2635	-0.3975	-0.45675	-1.06313	-0.18325	-1.12625	-0.312375	-0.522	-0.252	-0.57825	-0.783125	-0.813375	-1.03812	0.6025	-0.459125	-0.22125	-0.596875	-0.5845	-0.505625	-0.263625	-0.53275	-0.23325	-0.580625	-0.332	-0.622	-0.426625	-1.48125	-0.61475	-0.97375	-0.787	-0.367625	-0.864125	-1.59438	-0.26775	-1.19512	0.33575	-0.709	-0.430625	-0.87775	-0.35325	-0.719875	-0.1845	-1.08337	-0.735375	-0.42	0.333375	-0.521	-1.54212	-0.743125	0.74675	-0.371375
ABAT	-0.308333	-0.0239	-0.7085	-1.7026	-3.027	-0.410778	-0.5816	-2.6668	-1.1612	-1.4485	-1.00889	-1.3674	-0.2508	-1.95933	0.206556	-1.48789	-0.5462	-0.6068	-0.5849	-1.22267	0.0737	-1.67489	-0.655444	-2.2741	-1.5463	-0.1929	-0.575	-0.057	-0.754111	-1.9401	-0.9575	-0.9804	-1.63367	-1.0769	-1.2182	-0.4714	-0.3908	-1.1317	-2.0918	-2.2456	-0.3233	-2.5522	-0.2453	-2.08633	-1.578	-1.7736	-1.21522	-0.715	-1.49722	-0.989375	-2.7858	-1.1879	-1.6836	-1.2045
ABCA1	1.01533	0.3105	-0.827167	0.3915	-1.016	-1.35817	0.270333	-0.523	0.325333	-1.31	-0.8635	-0.470167	-0.035	0.839667	-0.215333	1.15633	0.620333	0.288333	-0.491333	0.122333	0.258167	1.0885	0.7085	-0.214833	0.8875	1.1445	-0.674333	0.568833	-0.494667	-0.9725	-0.6265	-0.324	0.855333	-0.000166667	0.126	-0.1995	0.383167	-0.452333	0.508167	0.1195	0.887333	0.483167	0.518	0.911667	-0.254	0.0508333	-0.345833	-0.238	0.2275	0.175	0.5485	-1.04283	2.27	0.5915
ABCA10	1.099	0.423	0.3475	0.9485	0.851	0.485856	0.6435	1.727	-0.722	0.373	1.666	1.696	0.8555	-1.658	2.4005	1.897	-0.639	-0.304	0.4135	0.0455	2.432	1.4325	0.227	0.2375	-0.268	1.489	3.7535	0.485856	0.1985	0.3115	-0.066	-0.8855	-0.667	0.4705	-0.2765	0.92	0.7095	-0.449	-0.188	0.018	-0.1155	-0.1125	1.215	0.6825	0.0565	0.432	0.51	-0.288	-0.4985	0.7245	0.2645	-0.02	0.3855	0.5655
ABCA11	1.6555	-0.725	-1.8	-0.6405	0.1655	0.0085	-0.241	0.2885	-0.497	0.3035	0.084	0.0625	-0.4995	-2.875	-1.3	-1.451	0.0105	0.3865	-0.8555	-0.4195	-0.921	-0.4965	-0.7625	-0.791	-0.6485	0.679	0.388	1.6415	-2.456	-1.043	-0.1375	-0.5385	-0.3205	0.8975	-1.9325	-0.992	-0.5195	0.1615	-1.6325	-1.189	-0.151	-2.058	0.1495	-0.03	-0.54	-0.9855	-0.3275	-0.451	0.078	0.1525	0.651	-1.1215	-0.532	-0.648
ABCA12	-1.72875	-2.9855	-1.11025	-2.443	-3.44675	-2.795	-4.0005	-1.51925	-3.91033	-3.077	-2.25367	-1.8265	-3.49125	-2.746	-3.21975	-2.59925	-2.20275	-1.944	-3.05825	-4.41875	-2.29775	-2.372	-3.468	-3.77325	-3.17925	-3.36675	-2.86425	-1.91725	-2.33125	-2.7725	-2.2605	-3.496	-3.386	-3.46175	-1.06975	-3.42675	-3.6205	-3.6765	-2.82275	-2.3135	-3.12575	-4.10275	-2.437	-2.012	-3.87225	-4.69125	-1.82	-3.02125	0.481	-0.34675	-4.123	-2.91425	-1.883	-1.835
ABCA13	0.935375	1.26388	1.305	0.51325	-0.4604	0.49	0.485125	1.45129	2.6805	0.556	-0.00316667	1.53975	0.241571	0.117167	0.920125	0.633125	1.75171	-0.286125	0.7265	-0.210875	0.169875	0.173143	0.5835	-0.0778571	1.236	0.540375	-0.323286	2.189	-0.199429	-0.684	3.4575	-0.020375	1.30288	0.198286	1.09425	0.218375	0.173	0.624	-0.041625	0.072625	-0.56225	0.378875	0.03425	0.8225	1.60763	0.233143	-0.007875	0.533875	0.447375	1.1975	0.117	-0.0287143	1.64312	-0.158
ABCA3	1.64613	-2.17013	-2.30037	-2.17075	-3.16075	-2.0455	-2.02462	-2.57875	0.3905	-3.02287	-2.35387	-2.61225	-2.29763	-1.77113	-2.171	1.06275	1.17738	-0.26875	-1.9205	0.049625	-0.487125	-1.10712	-2.12525	-1.95675	-1.12013	-3.21163	0.74325	0.162875	-2.87113	-0.7205	-1.33625	-0.9605	0.08725	-1.57	-0.15425	0.4245	-1.0805	-2.76675	-0.116625	-1.27875	-2.79575	0.833125	-1.83737	-1.66725	0.627	-1.87888	-2.24675	-0.391875	-0.941375	-2.36875	1.0875	-0.928625	0.063625	-2.15687
ABCA4	1.13583	0.0336667	-0.3745	2.28717	-0.46	1.93867	1.30983	-1.16567	1.61567	-0.968833	0.401	0.493167	-0.499833	1.33933	0.160167	-0.470333	0.2965	-0.856	-0.611167	-0.0995	-0.747833	0.0306667	0.6906	-0.259333	2.79167	0.210333	-0.734667	0.5065	-0.588667	1.21317	-0.0505	-0.3265	3.30317	3.08817	1.23083	2.48667	1.295	-0.3615	0.792833	-0.0171667	1.4805	0.248167	-0.438167	1.49567	1.77833	0.065	1.19967	1.12683	1.89633	-0.0865	0.636833	-0.2626	0.81	-0.234667
ABCA5	-0.968875	0.4895	0.352125	-0.434875	0.86975	-1.178	-1.4575	-0.358375	0.987875	-1.01063	0.2635	-1.53375	-1.00388	-1.148	-0.642375	0.683875	-1.21713	-2.947	-0.333375	0.14325	-0.1295	-0.6355	-0.14475	-0.595125	0.689625	0.09525	0.281625	0.98125	-0.855875	-2.1	1.0895	1.40837	-1.916	0.229375	0.054375	-3.13638	0.83175	0.027125	-1.19	0.63975	-0.653875	1.89938	0.652625	0.8725	-1.14025	0.549375	0.815875	-0.285375	0.394	-0.310625	-0.846375	-0.85775	-2.94575	0.868875
ABCA6	0.1765	0.9645	-0.166143	0.6833	0.3481	-0.085875	-0.7138	0.615	0.724889	-0.220444	1.11262	-0.292	0.2614	0.5663	1.08311	0.2049	-0.101625	0.0956	0.1903	0.2134	2.5267	0.7421	-0.63	-0.202778	2.0306	0.6275	0.3954	0.9698	0.8105	-0.2283	0.1011	0.3647	0.6262	0.7716	0.5925	-0.0712222	0.9424	1.0139	0.4934	0.0351	-0.0015	0.1634	0.3982	0.4367	0.3409	0.0643	0.2577	1.0035	0.2702	-0.533	-0.307	-0.0997	0.6017	1.232
ABCA7	-0.9395	-0.08125	0.6175	1.6315	-1.093	0.82525	-1.63125	-0.3105	-1.198	-0.979	-1.062	-0.20125	0.40975	-0.1195	-0.06925	-0.12775	-2.06775	-0.22075	1.32775	0.623	0.16875	-1.091	0.148	-0.72425	0.1405	-0.62125	0.50375	-1.37875	0.3655	-0.84325	-0.37775	-0.0875	-1.53575	0.27575	0.105	-0.50425	-0.91575	-1.66525	-0.75325	0.7585	-0.154	-2.254	0.53375	0.65175	-2.06275	-0.2215	-0.59425	-0.86075	-0.73275	0.17075	-1.39125	-0.17875	-0.94625	-0.0125
ABCA8	-0.07125	-0.44275	-0.01025	1.23825	-0.80775	-0.5355	-0.6955	-0.14	1.79325	0.436333	-0.74	0.3125	0.404333	-0.56675	-1.77167	-0.1375	-0.313	0.379	0.6765	-0.1115	0.75825	0.05775	-0.43975	-1.02875	0.6355	1.4275	-0.322	0.864	0.3015	-0.178	-0.3345	0.00825	-0.26825	-0.38275	-0.03675	0.395	-0.21125	2.572	0.19325	-0.00166667	0.531	0.07725	0.35425	-0.34925	-0.779	-0.03725	-0.62625	0.327	-0.23975	0.29625	-0.97075	-1.746	0.06175	0.1995
ABCA9	0.2958	1.0724	-0.203167	2.50133	0.3228	0.39425	-0.0246	1.44586	1.29133	1.35922	0.0397143	0.963429	0.581667	0.834625	1.26278	0.817857	1.074	0.5184	1.41587	1.06089	1.85378	1.1957	0.5634	0.3025	1.4572	0.651	0.338333	1.21944	1.007	0.1398	0.544778	0.0107	1.1705	0.9493	0.4265	0.510333	0.8832	1.919	0.172625	0.4424	0.140222	0.601	1.1368	0.860444	0.8115	0.325	0.126778	0.308	0.134429	1.254	0.506857	1.22229	0.398667	0.419667
ABCB1	-0.80875	-0.2465	-0.320375	-0.404375	-0.772	-1.48438	-1.10775	-0.603375	-1.56688	0.88725	-0.417	-0.298	0.072125	-0.13325	-0.021875	-0.9865	-1.78238	-1.2095	-0.391	-1.33	0.560375	0.01275	0.80425	-1.12037	1.601	0.129	-1.86675	-0.665875	-0.073	-1.08475	-1.18487	-1.07337	-0.946125	-1.0255	-0.469	-1.09563	0.453125	-1.1475	-0.970125	-0.28275	0.235625	-0.713875	0.265875	0.54675	-1.32313	-1.40288	-0.990125	3.03575	0.167875	-1.223	-0.3925	-0.462125	-0.86225	0.292375
ABCB5	0.1495	0.911	0.886	-0.573	-0.2595	1.353	0.3145	0.376	0.809	0.3485	0.82	0.157	1.0305	0.7165	1.874	1.256	-2.397	0.546	-0.957	0.2125	-0.4595	1.3905	0.8095	-0.6335	-0.0265	0.9805	0.756	2.054	1.507	-0.4745	0.22	0.2765	-0.089	0.2905	0.838	0.3405	1.9125	0.323	0.668	-0.3475	0.033	-0.6915	-0.522	-0.551	0.2835	0.606	-0.1625	-0.4695	0.527	0.428	1.1455	-0.2425	0.689	1.476
ABCB6	-0.1388	-0.6586	-0.1851	1.027	-0.3858	0.269	-0.5333	-0.9971	-1.2249	-0.2702	-0.4262	-1.2546	-0.3781	-0.0052	-0.705	-0.2355	0.1633	-1.3155	-0.5404	-0.6391	-0.7853	-1.0201	-0.6264	-1.1642	-1.2356	-1.0181	0.6631	1.1748	0.3355	-0.0558	-0.7139	-0.7788	0.6638	0.2837	2.3085	0.8405	-0.3416	-0.1734	0.0643	0.5837	-0.0316	-0.9563	-0.1948	-0.5101	1.1797	-0.3863	-0.2841	-1.5315	-0.7221	-0.4614	0.8756	1.03	-0.6462	0.0969
ABCC1	0.5085	-0.131167	-0.968	0.0378333	-0.441333	-0.0615	-0.136333	-0.2495	-1.27683	-0.406	-0.998667	-0.381833	-0.608833	-1.77683	-0.298333	-2.08583	-0.0363333	-1.04417	-1.18883	0.0126667	-0.667333	0.0328333	-0.422167	0.316	-0.612	0.0351667	-1.11233	-0.537333	-0.552333	-1.23717	-0.613	-0.7905	0.306667	-1.07017	0.168	-0.355333	-1.19617	0.268667	-0.741667	-0.00466667	0.511833	-0.0605	0.1485	0.4425	-0.994333	-0.195167	-0.126	-0.632167	-1.37683	-0.8455	0.0381667	-1.09033	0.265167	0.335333
ABCC2	-4.12767	-4.3335	-2.6905	-4.7378	-4.891	-4.07233	-4.595	-4.66183	-5.004	-4.51633	-3.90217	-3.63117	-2.71367	-2.97533	-2.60833	-4.49583	-4.93967	-3.69067	-4.69783	-3.34883	-3.32217	-4.84967	-3.14633	-4.26383	-4.97133	-4.166	-4.01983	-3.19617	-4.61583	-4.81917	-2.79983	-4.63233	-5.394	-4.90917	-2.29317	-4.55817	-4.88567	-3.964	-4.4795	-3.58517	-3.591	-4.81133	-4.444	-3.82333	-4.56	-3.59667	-4.04317	-4.73917	-4.80133	-4.266	-5.64333	-3.44	-4.25333	-3.83917
ABCC3	-2.57275	-0.69625	-1.75057	1.99125	-3.87663	1.34737	-1.423	-0.46975	0.3175	-0.73525	0.496125	1.00638	-0.336625	-0.909375	-0.264125	0.3385	-1.10163	1.15362	-0.24925	-0.03925	-2.40675	0.284875	0.255125	0.749375	-0.41125	1.02337	-2.788	1.99725	1.88	0.849625	1.02838	-2.412	-0.114375	1.49562	3.08438	-0.115875	-2.6955	0.182625	0.576375	1.561	1.79287	-0.3505	1.59712	0.646875	-0.34	1.02675	0.043	-1.54188	-2.79225	-1.33462	-0.416625	0.804125	-0.4665	1.56787
ABCC4	0.450417	-0.690167	-1.04971	0.349083	-2.1335	-1.11264	-0.156583	-1.6918	-1.794	-0.0158333	-1.40767	-1.03417	-0.997091	-1.5735	-0.97675	-2.095	-0.628818	0.383667	0.08925	-0.563417	-0.795833	0.468545	-0.863083	-1.96942	-0.354417	0.51375	-0.154	-0.447667	-1.29317	0.1175	-2.89392	-0.464833	-1.26142	-2.0719	-0.8877	-0.598583	-0.684	-0.859	-1.66592	-1.24108	-0.603417	0.603667	-1.14708	-1.23317	-0.6815	-1.31783	-0.376333	-2.1865	1.09358	-0.85475	0.157917	-1.38544	0.00666667	-0.691273
ABCC6	-0.832857	-1.77186	-0.819	-1.70293	-0.373429	-1.67971	-0.3895	-2.11138	-0.7885	-1.934	-1.49062	-1.55064	-1.98293	-0.834857	-0.376714	-0.447857	-0.252154	-0.775929	0.0990714	0.169286	-0.584714	-1.64057	-0.768714	-1.82	-2.52829	-1.91636	-1.00086	-0.877429	-1.83279	-0.620571	0.346571	-0.284143	-0.482071	-0.432	-0.821714	-1.17657	-1.0455	-1.72557	-0.976857	-1.13029	-1.257	-2.03264	-1.34336	-1.40436	-1.01964	-1.28593	-1.7355	-2.19836	-0.205857	-1.13436	-1.97829	-0.858214	-1.28869	-1.31964
ABCC8	-0.607	0.19	-0.132333	-0.273333	0.0145	-0.2465	-1.39025	-0.17875	-1.35925	-0.32875	-0.21425	-0.56575	0.6465	-0.14325	-0.762333	-2.50767	-0.7585	2.27125	-0.2895	-1.066	-0.00475	3.5785	2.30775	0.0175	-0.704	-0.73325	1.901	-0.0895	-0.33975	-0.43375	-0.1735	-0.513	-0.33825	-0.8775	-1.2425	0.12125	-0.723	-0.5225	-0.3585	-0.07075	-0.70925	-0.5055	-0.3715	-0.3525	-0.51525	0.106	-0.6045	-0.354	-0.16125	-0.23	-1.54275	-1.01675	-0.0835	-0.8115
ABCC9	0.201286	-0.3935	0.2874	0.567	-0.813857	-0.356714	-0.377125	-0.39875	-0.164875	0.368429	0.09125	0.037	0.397143	0.0452857	-0.275375	-0.377571	0.497429	-0.139	0.28125	-0.879	0.2015	0.443125	0.0562857	0.165125	0.192375	-0.0665	0.307167	0.108875	-0.100429	1.86875	1.23986	-0.355375	0.333	0.201625	-0.394625	-0.525625	0.950625	0.882	0.17875	-0.05975	0.017	0.2065	0.262125	0.58475	-0.187	-0.118	0.206625	0.63675	0.62475	0.502429	0.443375	0.008125	-0.035	0.107857
ABCG1	0.895	1.2045	0.3875	2.1735	2.5805	2.2895	0.639	0.425	1.2105	-0.6865	1.4615	1.3955	1.435	1.0265	1.6145	3.405	-0.2045	0.6525	1.3285	3.115	1.6445	1.0745	1.393	0.9175	1.217	3.07	-0.5855	2.051	1.1905	1.1135	2.272	2.218	1.685	1.958	0.756	1.8565	3.666	1.311	0.971	2.124	1.8385	2.472	2.27	1.7485	0.616	0.823	0.59	1.1185	0.453	2.359	2.928	2.085	0.903	1.2965
ABCG2	-1.9615	-1.542	-2.3475	-2.2985	-3.19175	-2.8805	-3.664	-2.39	-5.17675	-4.111	-2.36075	-2.20525	-1.39225	-0.0965	-1.844	-2.0675	-2.7245	-2.7335	-1.2375	-2.8755	-1.70875	-0.851	-3.0605	-3.0405	-2.156	-2.012	-2.22825	-2.2375	-3.90075	-3.48725	-2.3225	-3.3805	-3.23275	-3.53525	-3.3765	-3.129	-0.366	-2.51125	-2.943	-2.0535	-2.145	-2.56725	-2.19925	-1.0805	-3.0995	-2.92175	-2.9825	-2.503	-3.78125	-2.77725	-1.5425	-1.46575	-3.2295	0.02425
ABCG5	-2.45225	-3.4135	-1.487	-3.28575	-3.3695	-2.7005	-3.068	-3.55933	-3.21475	-2.84925	-4.06033	-3.67575	-2.7075	-3.389	-1.37425	-2.09575	-3.54775	-2.64	-2.757	-3.3745	-2.9995	-2.85425	-2.76975	-2.9495	-3.89125	-3.4555	-2.9965	-4.3185	-4.213	-2.56575	-3.355	-2.53525	-4.05625	-1.95225	-1.96175	-2.54275	-2.41075	-2.9905	-3.00875	-1.8375	-2.98975	-3.205	-2.9275	-2.624	-2.555	-2.59	-1.693	-2.586	-4.36625	-1.957	-4.28425	-2.06825	-3.12075	-2.71675
ABCG8	-0.233	0.2665	2.2015	0.1415	0.985	0.329528	1.2825	-1.716	0.095	1.2525	-0.4785	0.6245	0.0625	0.187	0.6665	0.2295	-0.26	0.2265	0.42	0.607	0.0525	1.0775	0.508	0.071	-0.3945	0.679	-0.018	0.1635	0.2475	0.1315	1.2295	-0.345	0.7595	0.665	-0.151	-0.297	-0.394	0.49	-0.0055	0.003	-0.1575	0.0645	1.591	-0.485	0.1485	-0.2205	0.026	0.757	0.476	0.0305	0.8045	0.2495	2.3955	0.752
ABHD1	1.70925	-0.355	-0.5695	-0.748	-1.1705	0.46	1.1925	-0.233	-0.75375	-0.308	-0.63475	-0.15675	0.3985	-0.254	-0.15875	0.7515	1.36575	0.51825	0.338	0.1265	0.3375	-0.3935	0.97175	0.8465	0.513	-0.14125	0.29775	1.47525	-0.47575	1.3125	-0.821	0.58625	-0.741	-1.175	1.08675	0.8885	0.83175	-0.5255	-0.1945	0.38425	-0.9795	-0.581	1.2345	-0.2135	0.79275	0.58975	0.533	-0.0235	-1.45875	0.16225	-0.7595	0.78325	-0.5605	-0.1625
ABHD11	0.9222	0.543	0.5637	1.4968	2.1696	1.5107	2.1921	1.6371	0.0348	0.9914	0.9407	1.1989	0.7854	2.167	1.4881	3.2419	0.4489	1.6966	1.6605	1.4639	1.0958	0.5952	0.8824	2.0184	0.3868	0.3429	-0.3773	1.9344	0.8157	0.452	1.9517	0.7127	2.3723	1.6173	1.3716	1.8491	1.8265	0.4836	1.4508	0.7786	1.0292	1.3421	1.0704	1.3368	1.3496	0.4699	0.5556	0.6486	0.9957	0.1882	2.0481	1.428	0.3825	1.8311
ABHD12B	-0.22025	1.635	-0.139	-1.36375	-1.92433	-1.46125	-2.19825	-1.69425	-2.48767	-0.87675	2.0815	2.39175	1.594	-0.554	-0.29	-0.104667	0.756	-1.17575	-2.29475	-1.7865	-2.12767	-1.39567	4.63025	1.934	4.54825	2.52225	-1.70667	0.02575	-1.0995	-1.9095	-2.96967	-1.41925	-1.40375	-1.69567	-1.03275	-1.843	-2.35375	0.23	-2.053	-0.954	3.04125	-1.99075	-1.129	-0.87025	-1.11875	0.8885	1.76075	-1.493	-1.28225	-0.635667	-1.699	-0.984333	-0.359	-0.583
ABHD3	-2.8135	-2.0685	-1.68367	-1.0395	-1.19325	-1.65275	-0.0675	-0.966	-0.18375	-1.45025	-3.4555	-1.05325	-3.88525	0.327	-1.68675	-1.38825	-0.84	-0.98725	-1.85025	-1.59575	-2.1225	-2.068	-1.0365	-1.0015	-1.2115	-1.43225	1.2875	-0.75275	-0.60075	-1.17675	-1.55125	0.07625	0.806	-1.376	-2.63575	-2.65775	-0.702	-2.02925	-0.346	-3.31725	-2.515	-0.5175	-2.11625	-2.299	-2.61475	-2.67575	-2.68275	-1.35325	0.0725	-0.10425	-2.2785	-2.161	0.62325	-1.12075
ABHD5	-0.9905	-1.14375	-1.84025	-0.4425	0.414	0.1895	-0.491	0.80225	-1.08275	0.12025	-1.23875	0.066	-1.82675	-1.122	-1.443	-0.2545	-1.628	-0.71675	-0.4555	-1.045	-1.03525	-0.87175	-0.63775	-0.20975	-0.492	-0.427	0.28675	-0.8955	-0.944	-0.4375	-0.292	-0.157	-1.0535	-0.037	-0.844	-1.123	-0.509	-0.80825	0.7665	-0.868	-0.72925	0.1405	0.06075	-0.12125	-1.38475	-0.85575	-0.392	0.79525	-0.1855	0.608	-0.87725	-0.0655	-0.1825	-0.245
ABHD6	-0.23525	0.95875	-0.06425	-1.003	-0.61875	-0.60625	-0.04625	-1.32575	-0.3895	0.68675	-0.0355	0.106	0.54075	-1.19775	0.94925	0.87625	0.565	-0.87925	-0.6425	0.01225	0.6505	-0.82825	1.935	-0.76525	2.34275	0.30725	0.973	0.632	-0.29975	0.72	1.24075	0.1175	-0.76425	-1.92025	-0.1875	-0.44375	1.60275	0.7385	-0.8175	-1.01175	1.28625	-0.2095	1.60975	0.21125	-1.40175	0.2305	0.19425	0.75625	-1.223	0.9035	-0.51575	-0.719	-1.58575	-0.25225
ABHD7	1.391	-0.3315	-1.07633	-1.3195	-1.002	-0.17675	-0.1725	-2.4375	0.91	0.79425	-1.17275	-0.3255	-0.944333	-1.2005	-0.7515	-0.633	-0.06325	0.156	-0.49925	-0.84975	-0.727667	0.7505	-0.315	-0.10275	0.93125	-1.61775	1.574	-0.929333	-0.76325	1.76875	-1.052	-0.97	0.27775	0.90775	-0.906	-0.45475	1.6995	-0.78125	-0.9785	-1.08925	-1.498	-0.4875	-0.7535	-1.08175	1.09825	-0.6245	-1.005	-0.95475	-0.4225	-0.96125	0.53175	-0.23425	-1.06375	-0.34275
ABHD8	1.2595	0.48125	1.93575	0.5095	-0.27125	0.69225	1.334	-0.4075	1.436	1.01175	0.15825	-0.286	0.50025	0.79825	0.30375	0.95175	0.64675	0.406	-0.466	0.67925	-0.37825	0.68825	0.7905	1.05975	0.2895	0.18825	0.8655	-0.035	-0.70275	0.60225	-0.11025	0.2925	0.12225	0.9255	0.51775	0.45975	0.9165	0.03475	0.35575	-0.27975	0.3855	0.48675	0.39	0.157	1.62075	0.05025	0.6815	0.34225	0.90875	0.249667	0.97625	1.204	-0.71625	0.55875
ABI1	-0.178333	-0.346667	-0.937	-0.404167	0.619667	-0.0935	-0.648	0.124333	-0.0348333	0.0368333	-0.722	0.325333	0.015	0.711167	0.117833	-1.12483	-0.6544	0.0628333	0.357833	0.222	0.0531667	0.295	0.0783333	0.464333	0.428667	0.884833	0.988667	0.545667	-0.139667	-0.444	0.978833	-0.190167	0.231	-0.172667	-0.3915	-1.332	-0.678333	0.333667	0.356	-0.8065	0.5095	-0.0485	0.228	0.367333	-0.929333	-0.3905	-0.551333	0.742833	0.341667	0.2375	-0.881	-0.0415	0.900167	0.208667
ABI2	0.856667	-0.167167	-0.263333	-0.169167	-0.386167	-0.384	0.0776667	-0.418333	0.821667	0.340667	-0.388833	0.523167	-0.182333	-1.1775	-0.075	-0.708	0.769833	-0.0546667	-0.559833	0.0268333	-0.1295	1.9285	0.159167	-0.503167	0.0206667	0.1745	0.494667	0.192167	-0.122667	0.618167	-0.265667	0.074	0.8665	-0.512833	-0.473333	0.0801667	0.2125	0.172667	-0.249833	-0.992333	-0.169	1.07467	-0.794833	-0.4565	0.264333	-0.0458333	-0.176167	0.199333	0.819833	-0.6555	0.398	-0.800333	0.342	-0.722833
